date,close,open,high,low,volume
2020-08-13T00:00:00+05:30,190.16,192.09,192.75,186.05,24047152.0
2020-08-14T00:00:00+05:30,185.39,190.3,191.95,184.54,30460086.0
2020-08-17T00:00:00+05:30,187.61,186.95,188.32,185.81,12438410.0
2020-08-18T00:00:00+05:30,187.42,188.69,188.69,186.19,13230205.0
2020-08-19T00:00:00+05:30,187.32,187.47,190.39,186.99,16393941.0
2020-08-20T00:00:00+05:30,184.82,185.96,186.14,183.64,17915029.0
2020-08-21T00:00:00+05:30,185.77,186.9,188.03,185.29,18257667.0
2020-08-24T00:00:00+05:30,185.67,186.19,187.84,185.34,15613075.0
2020-08-25T00:00:00+05:30,184.45,186.19,187.18,184.16,16102014.0
2020-08-26T00:00:00+05:30,184.02,185.48,185.53,182.79,23975739.0
2020-08-27T00:00:00+05:30,183.36,187.37,187.75,183.03,50017605.0
2020-08-28T00:00:00+05:30,184.59,183.69,185.29,183.17,36703507.0
2020-08-31T00:00:00+05:30,180.39,187.84,187.84,179.35,102759386.0
2020-09-01T00:00:00+05:30,179.54,180.39,181.57,177.7,42141923.0
2020-09-02T00:00:00+05:30,180.62,180.58,182.18,179.02,21808305.0
2020-09-03T00:00:00+05:30,180.86,180.67,182.42,179.35,16624505.0
2020-09-04T00:00:00+05:30,176.23,179.35,179.35,175.29,43847339.0
2020-09-07T00:00:00+05:30,178.5,176.75,179.82,170.66,34603998.0
2020-09-08T00:00:00+05:30,177.6,178.97,179.87,174.25,27111341.0
2020-09-09T00:00:00+05:30,173.5,175.1,175.81,172.08,29483112.0
2020-09-10T00:00:00+05:30,174.53,173.78,175.29,172.93,18841382.0
2020-09-11T00:00:00+05:30,173.64,174.53,176.04,172.5,20400517.0
2020-09-14T00:00:00+05:30,173.07,175.38,175.43,172.74,32833797.0
2020-09-15T00:00:00+05:30,171.61,173.68,173.87,170.66,32599747.0
2020-09-16T00:00:00+05:30,170.52,171.65,173.21,169.96,53653673.0
2020-09-17T00:00:00+05:30,168.59,170.66,171.32,167.83,35951714.0
2020-09-18T00:00:00+05:30,169.06,169.48,169.77,167.08,31552118.0
2020-09-21T00:00:00+05:30,165.9,169.91,170.48,165.24,25311554.0
2020-09-22T00:00:00+05:30,164.43,165.9,166.84,164.01,19633343.0
2020-09-23T00:00:00+05:30,162.83,165.14,167.6,162.07,65455391.0
2020-09-24T00:00:00+05:30,157.21,162.07,162.12,156.84,33356982.0
2020-09-25T00:00:00+05:30,161.18,159.43,161.6,157.64,28209278.0
2020-09-28T00:00:00+05:30,163.58,161.41,165.0,160.94,24572341.0
2020-09-29T00:00:00+05:30,159.9,164.95,164.95,159.53,27139120.0
2020-09-30T00:00:00+05:30,162.07,160.47,162.45,159.24,19579755.0
2020-10-01T00:00:00+05:30,161.27,164.72,164.81,160.56,20931802.0
2020-10-05T00:00:00+05:30,159.76,161.51,163.11,159.29,25744493.0
2020-10-06T00:00:00+05:30,160.37,160.0,161.98,158.68,23186190.0
2020-10-07T00:00:00+05:30,160.0,160.47,161.32,159.53,17254008.0
2020-10-08T00:00:00+05:30,157.78,160.56,160.85,157.54,27018729.0
2020-10-09T00:00:00+05:30,158.44,158.11,159.43,157.02,23702302.0
2020-10-12T00:00:00+05:30,162.55,160.94,165.38,160.47,70185470.0
2020-10-13T00:00:00+05:30,160.61,163.16,165.05,160.0,37804808.0
2020-10-14T00:00:00+05:30,158.39,160.99,161.41,157.68,40489037.0
2020-10-15T00:00:00+05:30,155.8,158.3,158.39,155.32,28727513.0
2020-10-16T00:00:00+05:30,156.41,156.22,157.45,154.62,21428459.0
2020-10-19T00:00:00+05:30,158.82,157.45,159.43,156.84,20146305.0
2020-10-20T00:00:00+05:30,158.06,158.58,158.86,157.35,17108178.0
2020-10-21T00:00:00+05:30,158.25,158.72,159.43,157.26,17457940.0
2020-10-22T00:00:00+05:30,159.1,158.16,159.62,157.64,23353736.0
2020-10-23T00:00:00+05:30,161.18,159.48,161.41,158.35,21343980.0
2020-10-26T00:00:00+05:30,159.1,161.89,161.98,158.82,17036628.0
2020-10-27T00:00:00+05:30,157.83,159.05,159.81,157.4,48611232.0
2020-10-28T00:00:00+05:30,156.22,159.05,159.05,155.75,17819876.0
2020-10-29T00:00:00+05:30,154.66,155.75,156.65,154.29,22256525.0
2020-10-30T00:00:00+05:30,155.99,154.81,157.45,154.19,17318435.0
2020-11-02T00:00:00+05:30,157.4,157.45,157.83,155.23,15224163.0
2020-11-03T00:00:00+05:30,160.56,157.83,161.18,157.73,23945354.0
2020-11-04T00:00:00+05:30,160.28,160.52,162.17,158.77,19925928.0
2020-11-05T00:00:00+05:30,164.95,161.65,165.19,160.66,28601108.0
2020-11-06T00:00:00+05:30,164.2,166.6,167.27,163.68,36286329.0
2020-11-09T00:00:00+05:30,163.11,164.2,167.36,162.22,37382249.0
2020-11-10T00:00:00+05:30,168.35,165.19,169.48,162.22,60872116.0
2020-11-11T00:00:00+05:30,174.91,169.53,175.48,168.59,67079320.0
2020-11-12T00:00:00+05:30,177.46,174.82,178.17,173.54,49121708.0
2020-11-13T00:00:00+05:30,176.61,176.7,178.22,175.15,29873528.0
2020-11-14T00:00:00+05:30,178.03,178.45,179.35,177.51,8228456.0
2020-11-17T00:00:00+05:30,176.85,178.4,178.78,175.95,22194904.0
2020-11-18T00:00:00+05:30,173.73,176.33,177.88,172.5,28175604.0
2020-11-19T00:00:00+05:30,177.37,172.55,181.05,172.46,51893946.0
2020-11-20T00:00:00+05:30,180.95,178.22,181.24,175.62,47998243.0
2020-11-23T00:00:00+05:30,180.15,181.24,181.71,178.07,24557209.0
2020-11-24T00:00:00+05:30,184.59,179.91,185.44,179.91,48108953.0
2020-11-25T00:00:00+05:30,182.98,185.01,186.85,181.71,44133437.0
2020-11-26T00:00:00+05:30,183.88,184.16,184.87,181.76,25661626.0
2020-11-27T00:00:00+05:30,182.79,183.55,184.78,182.37,33249464.0
2020-12-01T00:00:00+05:30,183.5,184.07,185.34,181.61,16837297.0
2020-12-02T00:00:00+05:30,184.96,184.07,187.61,182.7,30114246.0
2020-12-03T00:00:00+05:30,185.2,186.14,186.14,183.64,29672579.0
2020-12-04T00:00:00+05:30,187.09,185.81,188.17,185.48,23468022.0
2020-12-07T00:00:00+05:30,191.76,187.09,192.33,186.52,37813386.0
2020-12-08T00:00:00+05:30,191.1,192.47,193.22,188.36,32686468.0
2020-12-09T00:00:00+05:30,193.88,193.51,196.15,193.18,42041365.0
2020-12-10T00:00:00+05:30,200.78,195.06,201.67,191.76,69101543.0
2020-12-11T00:00:00+05:30,204.17,202.43,205.73,201.39,63905168.0
2020-12-14T00:00:00+05:30,203.8,205.73,206.34,202.95,28593080.0
2020-12-15T00:00:00+05:30,201.58,203.18,204.27,199.74,24636826.0
2020-12-16T00:00:00+05:30,202.0,201.77,203.47,201.53,20712857.0
2020-12-17T00:00:00+05:30,201.11,202.19,203.04,199.41,23715764.0
2020-12-18T00:00:00+05:30,202.47,201.15,203.84,197.99,25187121.0
2020-12-21T00:00:00+05:30,191.57,202.47,202.66,187.99,44319485.0
2020-12-22T00:00:00+05:30,192.0,191.71,194.69,185.86,43420650.0
2020-12-23T00:00:00+05:30,196.1,191.62,196.57,190.68,25103020.0
2020-12-24T00:00:00+05:30,196.91,198.23,198.84,194.07,24120557.0
2020-12-28T00:00:00+05:30,197.75,197.28,198.42,196.2,16675903.0
2020-12-29T00:00:00+05:30,199.69,198.7,201.53,198.32,28123140.0
2020-12-30T00:00:00+05:30,199.31,200.78,201.53,197.8,20049287.0
2020-12-31T00:00:00+05:30,197.28,198.75,199.45,196.86,19328909.0
2021-01-01T00:00:00+05:30,201.86,198.13,202.19,197.57,20687117.0
2021-01-04T00:00:00+05:30,201.44,202.0,203.89,200.21,28488980.0
2021-01-05T00:00:00+05:30,199.6,200.54,201.29,198.79,19094585.0
2021-01-06T00:00:00+05:30,193.88,199.6,199.64,193.04,51982116.0
2021-01-07T00:00:00+05:30,191.43,194.55,195.96,190.77,37028324.0
2021-01-08T00:00:00+05:30,190.2,192.89,194.45,189.02,59778743.0
2021-01-11T00:00:00+05:30,191.15,192.56,194.55,189.97,45523153.0
2021-01-12T00:00:00+05:30,194.88,191.62,195.3,190.3,37732823.0
2021-01-13T00:00:00+05:30,199.41,195.82,201.06,193.74,67722744.0
2021-01-14T00:00:00+05:30,202.14,200.11,204.36,199.74,51173191.0
2021-01-15T00:00:00+05:30,205.64,202.85,206.25,199.36,61785019.0
2021-01-18T00:00:00+05:30,207.43,206.16,209.55,202.57,71623244.0
2021-01-19T00:00:00+05:30,206.58,208.61,209.27,205.31,33672896.0
2021-01-20T00:00:00+05:30,205.45,206.25,206.72,203.61,47325671.0
2021-01-21T00:00:00+05:30,201.72,206.72,207.19,200.3,30721507.0
2021-01-22T00:00:00+05:30,198.89,202.0,202.71,197.42,26179909.0
2021-01-25T00:00:00+05:30,196.15,200.11,200.59,195.25,26450814.0
2021-01-27T00:00:00+05:30,198.84,196.34,200.73,195.49,51350210.0
2021-01-28T00:00:00+05:30,195.02,197.52,199.17,194.22,23446465.0
2021-01-29T00:00:00+05:30,191.86,196.86,197.09,191.01,25176105.0
2021-02-01T00:00:00+05:30,203.84,192.56,205.73,190.49,61174020.0
2021-02-02T00:00:00+05:30,205.97,207.67,210.97,204.83,51335827.0
2021-02-03T00:00:00+05:30,204.6,209.08,209.55,203.61,56829290.0
2021-02-04T00:00:00+05:30,217.06,203.98,218.43,203.89,112103785.0
2021-02-05T00:00:00+05:30,221.21,219.13,225.46,214.51,132943530.0
2021-02-08T00:00:00+05:30,220.03,224.19,224.7,218.52,43960390.0
2021-02-09T00:00:00+05:30,216.16,221.45,225.79,215.41,74852421.0
2021-02-10T00:00:00+05:30,214.79,216.16,218.14,210.59,50091407.0
2021-02-11T00:00:00+05:30,213.75,216.16,216.44,211.91,46222766.0
2021-02-12T00:00:00+05:30,205.26,213.09,213.09,203.7,117135065.0
2021-02-15T00:00:00+05:30,206.34,206.2,208.61,205.31,33663855.0
2021-02-16T00:00:00+05:30,206.01,206.77,209.37,205.07,30880127.0
2021-02-17T00:00:00+05:30,205.54,205.4,206.16,204.41,21029495.0
2021-02-18T00:00:00+05:30,206.58,205.97,208.23,205.68,25500182.0
2021-02-19T00:00:00+05:30,203.84,206.58,206.63,202.0,29795639.0
2021-02-22T00:00:00+05:30,195.44,200.11,200.11,194.45,54607770.0
2021-02-23T00:00:00+05:30,196.81,196.34,198.75,195.39,28260314.0
2021-02-24T00:00:00+05:30,197.14,197.38,198.04,194.92,13505209.0
2021-02-25T00:00:00+05:30,197.42,197.75,199.36,197.09,27495633.0
2021-02-26T00:00:00+05:30,192.42,195.63,196.34,191.62,46008683.0
2021-03-01T00:00:00+05:30,195.3,193.93,196.1,192.61,17189217.0
2021-03-02T00:00:00+05:30,198.13,195.39,198.98,194.92,27124874.0
2021-03-03T00:00:00+05:30,198.18,200.11,200.11,197.09,22084227.0
2021-03-04T00:00:00+05:30,197.94,197.09,199.45,195.96,26378047.0
2021-03-05T00:00:00+05:30,196.86,196.34,198.23,195.58,18352487.0
2021-03-08T00:00:00+05:30,196.34,197.94,198.98,196.06,24354107.0
2021-03-09T00:00:00+05:30,196.15,197.0,197.99,193.27,23934954.0
2021-03-10T00:00:00+05:30,194.92,197.38,197.47,194.26,20767505.0
2021-03-12T00:00:00+05:30,193.7,196.34,196.34,192.09,32616545.0
2021-03-15T00:00:00+05:30,193.93,194.31,194.45,190.3,43557897.0
2021-03-16T00:00:00+05:30,196.2,194.83,197.19,193.46,51659372.0
2021-03-17T00:00:00+05:30,198.79,200.3,201.91,196.86,83245712.0
2021-03-18T00:00:00+05:30,205.45,201.06,206.82,200.02,97456838.0
2021-03-19T00:00:00+05:30,210.45,206.72,213.47,203.47,142154626.0
2021-03-22T00:00:00+05:30,213.33,210.78,213.71,209.08,48785301.0
2021-03-23T00:00:00+05:30,209.74,212.39,215.31,208.89,44033328.0
2021-03-24T00:00:00+05:30,203.84,208.61,210.31,203.18,29249035.0
2021-03-25T00:00:00+05:30,199.74,203.09,203.84,197.33,43097460.0
2021-03-26T00:00:00+05:30,199.08,202.24,202.43,198.56,27628367.0
2021-03-30T00:00:00+05:30,202.52,201.29,202.95,198.6,29443109.0
2021-03-31T00:00:00+05:30,206.25,202.05,207.01,200.78,38652290.0
2021-04-01T00:00:00+05:30,207.71,207.67,208.23,205.12,30788882.0
2021-04-05T00:00:00+05:30,200.63,205.4,207.67,198.7,33241677.0
2021-04-06T00:00:00+05:30,200.73,201.81,202.9,198.37,27199093.0
2021-04-07T00:00:00+05:30,201.81,200.78,203.14,200.54,16107944.0
2021-04-08T00:00:00+05:30,201.29,202.8,203.98,200.92,14955315.0
2021-04-09T00:00:00+05:30,201.15,201.77,203.84,200.63,17336166.0
2021-04-12T00:00:00+05:30,193.79,198.23,199.17,193.51,36561417.0
2021-04-13T00:00:00+05:30,197.0,195.39,197.94,194.45,21450204.0
2021-04-15T00:00:00+05:30,195.11,197.28,198.65,194.45,18571943.0
2021-04-16T00:00:00+05:30,196.29,196.34,197.52,194.92,14102559.0
2021-04-19T00:00:00+05:30,194.07,193.51,194.55,192.33,16730249.0
2021-04-20T00:00:00+05:30,192.14,194.64,195.39,191.15,22633803.0
2021-04-22T00:00:00+05:30,194.36,190.68,194.73,189.31,24514070.0
2021-04-23T00:00:00+05:30,193.84,192.8,195.39,192.8,20790988.0
2021-04-26T00:00:00+05:30,193.79,194.26,195.16,193.22,21067313.0
2021-04-27T00:00:00+05:30,193.88,193.79,195.35,193.55,12124554.0
2021-04-28T00:00:00+05:30,193.98,194.45,194.92,193.79,13462786.0
2021-04-29T00:00:00+05:30,192.85,195.49,195.91,192.61,13874608.0
2021-04-30T00:00:00+05:30,191.24,192.47,194.17,190.68,17475381.0
2021-05-03T00:00:00+05:30,189.68,189.92,190.53,188.79,21835809.0
2021-05-04T00:00:00+05:30,188.41,189.92,191.01,187.94,19343753.0
2021-05-05T00:00:00+05:30,190.11,190.16,190.68,188.32,14685997.0
2021-05-06T00:00:00+05:30,191.38,190.96,194.4,190.77,15171447.0
2021-05-07T00:00:00+05:30,193.84,191.57,194.88,191.57,20619487.0
2021-05-10T00:00:00+05:30,194.03,195.54,195.82,193.51,17263196.0
2021-05-11T00:00:00+05:30,192.56,192.47,194.92,192.33,14564046.0
2021-05-12T00:00:00+05:30,191.86,192.47,193.74,191.48,17519828.0
2021-05-14T00:00:00+05:30,200.35,193.51,201.25,192.56,65308519.0
2021-05-17T00:00:00+05:30,200.68,204.65,204.83,199.78,40258865.0
2021-05-18T00:00:00+05:30,198.27,202.1,202.57,197.9,32289819.0
2021-05-19T00:00:00+05:30,196.1,198.27,199.55,195.91,25854821.0
2021-05-20T00:00:00+05:30,195.39,196.76,197.57,195.21,22124749.0
2021-05-21T00:00:00+05:30,197.33,195.96,198.09,195.77,23982557.0
2021-05-24T00:00:00+05:30,199.64,197.75,200.16,196.1,30580220.0
2021-05-25T00:00:00+05:30,199.08,201.06,201.44,198.46,26839589.0
2021-05-26T00:00:00+05:30,198.79,199.93,200.54,198.51,18620034.0
2021-05-27T00:00:00+05:30,199.31,199.17,202.14,198.51,50378600.0
2021-05-28T00:00:00+05:30,200.96,200.59,201.53,199.69,27117862.0
2021-05-31T00:00:00+05:30,204.46,202.95,205.68,202.38,77377558.0
2021-06-01T00:00:00+05:30,203.18,205.78,207.1,202.24,41056888.0
2021-06-02T00:00:00+05:30,197.28,198.7,200.54,196.91,102395608.0
2021-06-03T00:00:00+05:30,197.33,198.93,198.93,197.0,49428644.0
2021-06-04T00:00:00+05:30,197.05,197.75,197.94,196.34,31915291.0
2021-06-07T00:00:00+05:30,199.6,198.6,200.49,198.42,33300192.0
2021-06-08T00:00:00+05:30,201.67,200.3,202.24,199.36,22524134.0
2021-06-09T00:00:00+05:30,200.59,202.0,202.71,199.64,26366089.0
2021-06-10T00:00:00+05:30,197.57,197.0,199.55,195.87,32544111.0
2021-06-11T00:00:00+05:30,196.24,198.51,198.65,196.1,22696741.0
2021-06-14T00:00:00+05:30,195.68,196.29,196.76,193.7,18727829.0
2021-06-15T00:00:00+05:30,195.44,195.91,196.72,195.39,15736533.0
2021-06-16T00:00:00+05:30,196.2,195.44,197.61,195.44,21298292.0
2021-06-17T00:00:00+05:30,194.12,195.35,196.34,193.51,22752467.0
2021-06-18T00:00:00+05:30,193.08,194.45,194.88,191.15,24967293.0
2021-06-21T00:00:00+05:30,192.99,191.71,194.45,191.05,20207585.0
2021-06-22T00:00:00+05:30,193.6,194.55,194.69,192.89,19114281.0
2021-06-23T00:00:00+05:30,192.52,194.12,194.31,192.19,13322087.0
2021-06-24T00:00:00+05:30,191.86,192.99,193.18,191.19,23767767.0
2021-06-25T00:00:00+05:30,193.55,192.56,194.07,192.33,14701415.0
2021-06-28T00:00:00+05:30,192.19,194.36,194.36,191.95,15495901.0
2021-06-29T00:00:00+05:30,191.9,192.19,193.79,191.76,14117541.0
2021-06-30T00:00:00+05:30,191.34,192.85,192.94,191.19,16889273.0
2021-07-01T00:00:00+05:30,191.62,191.52,192.37,190.82,10796586.0
2021-07-02T00:00:00+05:30,191.05,191.9,192.28,190.91,13452995.0
2021-07-05T00:00:00+05:30,192.23,191.62,192.66,191.34,10856921.0
2021-07-06T00:00:00+05:30,191.15,191.86,192.37,190.91,11747246.0
2021-07-07T00:00:00+05:30,192.33,191.15,193.7,190.96,18941354.0
2021-07-08T00:00:00+05:30,190.68,192.09,193.04,190.49,22167804.0
2021-07-09T00:00:00+05:30,190.06,190.68,191.01,189.64,12536902.0
2021-07-12T00:00:00+05:30,189.83,190.68,191.19,189.68,13862497.0
2021-07-13T00:00:00+05:30,190.53,190.68,190.86,190.06,11473660.0
2021-07-14T00:00:00+05:30,192.66,190.53,193.65,190.39,21696796.0
2021-07-15T00:00:00+05:30,194.69,192.94,196.81,191.52,30565875.0
2021-07-16T00:00:00+05:30,196.24,196.06,197.9,195.58,30743394.0
2021-07-19T00:00:00+05:30,196.1,195.21,197.75,194.78,17442875.0
2021-07-20T00:00:00+05:30,195.21,196.53,197.57,194.83,25061859.0
2021-07-22T00:00:00+05:30,195.39,195.39,196.57,194.31,19399111.0
2021-07-23T00:00:00+05:30,200.49,195.39,201.62,194.92,47171354.0
2021-07-26T00:00:00+05:30,199.31,202.0,203.28,198.98,50070902.0
2021-07-27T00:00:00+05:30,196.95,200.11,201.06,196.29,25888329.0
2021-07-28T00:00:00+05:30,197.38,196.62,198.23,195.82,15612103.0
2021-07-29T00:00:00+05:30,194.5,197.38,198.42,194.12,16530483.0
2021-07-30T00:00:00+05:30,193.46,194.55,195.49,193.13,15827685.0
2021-08-02T00:00:00+05:30,195.68,194.88,195.87,193.93,10248702.0
2021-08-03T00:00:00+05:30,198.13,195.87,199.08,194.88,19565425.0
2021-08-04T00:00:00+05:30,196.91,199.08,199.27,196.43,11651478.0
2021-08-05T00:00:00+05:30,203.18,196.91,204.6,195.3,49980530.0
2021-08-06T00:00:00+05:30,202.24,203.32,203.89,200.68,24982218.0
2021-08-09T00:00:00+05:30,201.81,202.95,204.98,200.78,21567274.0
2021-08-10T00:00:00+05:30,198.09,202.0,202.43,196.86,19234258.0
2021-08-11T00:00:00+05:30,196.95,198.09,198.79,195.82,16334390.0
2021-08-12T00:00:00+05:30,197.19,198.46,202.19,196.67,29336927.0
2021-08-13T00:00:00+05:30,199.6,198.09,200.4,197.47,19970550.0
2021-08-16T00:00:00+05:30,199.08,199.55,201.29,198.7,11854685.0
2021-08-17T00:00:00+05:30,197.47,198.98,199.64,197.09,8325224.0
2021-08-18T00:00:00+05:30,197.24,197.85,199.64,196.67,11373279.0
2021-08-20T00:00:00+05:30,197.19,195.39,198.89,195.11,20574473.0
2021-08-23T00:00:00+05:30,194.73,197.75,198.42,194.45,10526514.0
2021-08-24T00:00:00+05:30,194.22,195.39,195.39,193.22,13231916.0
2021-08-25T00:00:00+05:30,194.83,194.83,196.24,194.45,11215680.0
2021-08-26T00:00:00+05:30,193.13,194.83,195.25,192.89,15717335.0
2021-08-27T00:00:00+05:30,194.36,193.51,195.25,193.41,11098606.0
2021-08-30T00:00:00+05:30,196.34,194.45,196.53,194.45,12802597.0
2021-08-31T00:00:00+05:30,199.45,196.39,199.74,195.63,27341266.0
2021-09-01T00:00:00+05:30,197.75,199.17,200.4,197.57,17206616.0
2021-09-02T00:00:00+05:30,197.99,197.28,199.64,197.28,15171739.0
2021-09-03T00:00:00+05:30,198.79,197.99,199.41,197.99,10836373.0
2021-09-06T00:00:00+05:30,197.57,199.17,199.36,197.33,11263630.0
2021-09-07T00:00:00+05:30,199.88,199.08,202.33,198.37,39716155.0
2021-09-08T00:00:00+05:30,199.41,200.35,201.06,197.94,18256851.0
2021-09-09T00:00:00+05:30,200.73,199.22,201.91,198.75,20182760.0
2021-09-13T00:00:00+05:30,202.14,201.39,203.09,199.93,16996789.0
2021-09-14T00:00:00+05:30,203.98,202.85,205.07,202.19,20787246.0
2021-09-15T00:00:00+05:30,203.89,204.93,205.02,203.23,21451389.0
2021-09-16T00:00:00+05:30,217.81,204.79,220.55,204.17,158102628.0
2021-09-17T00:00:00+05:30,218.19,219.94,224.0,216.26,84223645.0
2021-09-20T00:00:00+05:30,220.65,218.05,225.93,217.34,74571690.0
2021-09-21T00:00:00+05:30,227.96,221.78,228.86,218.71,60037734.0
2021-09-22T00:00:00+05:30,229.85,229.85,232.02,227.21,55747231.0
2021-09-23T00:00:00+05:30,228.9,231.26,231.83,228.15,23085325.0
2021-09-24T00:00:00+05:30,225.08,230.32,230.32,224.37,26297617.0
2021-09-27T00:00:00+05:30,225.32,226.36,228.29,222.3,24250074.0
2021-09-28T00:00:00+05:30,224.42,226.4,228.06,223.05,16647243.0
2021-09-29T00:00:00+05:30,224.75,222.77,227.87,222.49,16367668.0
2021-09-30T00:00:00+05:30,222.91,226.45,226.92,222.06,17329444.0
2021-10-01T00:00:00+05:30,222.16,222.01,223.71,219.84,16903824.0
2021-10-04T00:00:00+05:30,223.34,222.77,224.99,222.2,11321257.0
2021-10-05T00:00:00+05:30,221.54,223.15,224.14,221.35,9771412.0
2021-10-06T00:00:00+05:30,218.29,221.64,223.15,217.67,18544841.0
2021-10-07T00:00:00+05:30,219.89,219.94,221.78,219.28,10987530.0
2021-10-08T00:00:00+05:30,218.71,221.59,221.64,218.24,10317681.0
2021-10-11T00:00:00+05:30,224.7,218.99,226.07,218.71,22442632.0
2021-10-12T00:00:00+05:30,227.77,225.22,229.38,224.66,30957608.0
2021-10-13T00:00:00+05:30,235.23,228.95,236.83,226.69,53138749.0
2021-10-14T00:00:00+05:30,242.17,239.05,247.17,236.31,90479463.0
2021-10-18T00:00:00+05:30,247.83,246.37,250.43,242.92,63873869.0
2021-10-19T00:00:00+05:30,232.16,246.75,247.83,231.31,62569613.0
2021-10-20T00:00:00+05:30,232.77,232.16,234.57,228.76,50662460.0
2021-10-21T00:00:00+05:30,230.98,234.1,234.43,229.47,23856178.0
2021-10-22T00:00:00+05:30,223.34,230.98,232.02,220.6,37647804.0
2021-10-25T00:00:00+05:30,220.31,220.98,223.38,217.58,23660394.0
2021-10-26T00:00:00+05:30,223.43,220.98,225.6,219.56,20058724.0
2021-10-27T00:00:00+05:30,225.08,226.78,227.77,222.96,27450457.0
2021-10-28T00:00:00+05:30,212.48,221.92,222.72,211.58,49031313.0
2021-10-29T00:00:00+05:30,210.69,212.39,215.45,209.84,28224459.0
2021-11-01T00:00:00+05:30,214.13,211.58,214.79,210.03,24575307.0
2021-11-02T00:00:00+05:30,212.95,215.22,216.4,211.91,15195781.0
2021-11-03T00:00:00+05:30,209.98,213.33,214.13,209.27,18903093.0
2021-11-04T00:00:00+05:30,213.85,212.24,214.56,211.44,7442018.0
2021-11-08T00:00:00+05:30,216.92,216.82,217.77,213.05,21474484.0
2021-11-09T00:00:00+05:30,215.93,216.96,217.96,215.08,12205071.0
